personnel_id,rank,abbreviation,service,date
73-3199113,Major General,MAJGEN,Army,21/12/2014
66-0240171,Lieutenant General,LTGEN,Army,16/01/2011
12-5273444,General,GEN,Army,08/07/2020
16-0622621,Aircraftman / Aircraftwoman,AC / ACW ,RAAF,03/08/2008
32-4614314,Leading Aircraftman / Aircraftwoman,LAC / LACW,RAAF,04/11/2002
06-4300913,Corporal,CPL,RAAF,26/03/2021
83-8263346,Sergeant,SGT,RAAF,17/05/2017
09-0137405,Flight Sergeant,FSGT,RAAF,12/07/2007
08-2751229,Warrant Officer,WOFF,RAAF,24/07/2012
26-6288275,Warrant Officer of the Air Force,WOFF-AF ,RAAF,15/01/2015
60-2803315,Officer Cadet,OFFCDT ,RAAF,08/04/2004
97-6829631,Pilot Officer,PLTOFF,RAAF,01/03/2010
68-2987099,Flying Officer,FLGOFF,RAAF,29/05/2016
19-1882694,Flight Lieutenant,FLTLT,RAAF,02/04/2005
70-2645132,Squadron Leader,SQNLDR,RAAF,12/12/2021
40-7757127,Wing Commander,WGCDR,RAAF,30/12/2014
00-9860760,Group Captain,GPCAPT,RAAF,07/01/2005
18-9396396,Air Commodore,AIRCDRE,RAAF,08/02/2009
10-7378259,Air Vice-Marshal,AVM,RAAF,22/03/2012
18-3489523,Air Marshal,AIRMSHL,RAAF,06/11/2013
29-5504481,Air Chief Marshal,ACM,RAAF,21/07/2003
90-3081508,Seaman,SMN,RAN,31/07/2011
69-4477691,Able Seaman,AB,RAN,16/11/2007
94-6694254,Leading Seaman,LS,RAN,31/03/2006
04-4718908,Petty Officer,PO,RAN,18/03/2021
49-2608963,Chief Petty Officer,CPO,RAN,08/06/2002
65-9238552,Warrant Officer,WO,RAN,28/08/2019
32-4086210,Warrant Officer of the Navy,WO-N,RAN,30/05/2011
23-5098665,Midshipman,MIDN,RAN,25/07/2011
78-4606796,Acting Sub Lieutenant,SBLT,RAN,11/05/2018
85-6997644,Sub Lieutenant,SBLT,RAN,07/01/2006
39-1614747,Lieutenant,LEUT,RAN,20/09/2005
15-0595423,Lieutenant Commander,LCDR,RAN,22/05/2002
99-3368700,Chaplain,CHAP,RAN,04/05/2022
16-6903239,Commander,CMDR,RAN,11/12/2001
24-4837466,Captain,CAPT,RAN,19/04/2022
41-4032476,Commodore,CDRE,RAN,02/03/2013
26-1538768,Rear Admiral,RADM,RAN,15/03/2022
91-4169690,Vice Admiral,VADM,RAN,21/11/2020
83-2836977,Admiral,ADML,RAN,09/02/2008
11-7254013,Private,PTE,Army,08/11/2003
40-7095375,Lance Corporal,LCPL,Army,19/03/2024
92-6031972,Corporal,CPL,Army,04/01/2010
27-1358316,Sergeant,SGT,Army,21/06/2002
10-7162767,Staff Sergeant,SSGT ,Army,12/01/2020
06-8341753,Warrant Officer Class Two,WO2,Army,25/10/2012
61-2228608,Warrant Officer Class One,WO1,Army,18/11/2014
46-1961143,Regimental Sergeant Major of the Army,RSM-A,Army,15/01/2014
43-0856058,Officer Cadet,OCDT,Army,09/09/2016
79-4024119,2nd Lieutenant,2LT,Army,16/12/2020
74-5035465,Lieutenant,LT,Army,28/12/2004
27-7494022,Captain,CAPT,Army,29/04/2021
16-6026240,Major,MAJ,Army,20/06/2019
49-4479475,Lieutenant Colonel,LTCOL,Army,04/09/2020
74-2231297,Colonel,COL,Army,17/02/2001
55-0602569,Brigadier,BRIG,Army,15/12/2000
70-2474449,Major General,MAJGEN,Army,17/02/2016
39-9807716,Lieutenant General,LTGEN,Army,11/02/2018
37-0028253,General,GEN,Army,11/03/2008
45-2378800,Aircraftman / Aircraftwoman,AC / ACW ,RAAF,09/07/2009
79-6763078,Leading Aircraftman / Aircraftwoman,LAC / LACW,RAAF,17/10/2002
29-0025559,Corporal,CPL,RAAF,17/01/2003
00-5627105,Sergeant,SGT,RAAF,27/07/2014
90-3389736,Flight Sergeant,FSGT,RAAF,13/12/2018
29-4251081,Warrant Officer,WOFF,RAAF,15/08/2014
49-1280000,Warrant Officer of the Air Force,WOFF-AF ,RAAF,25/06/2008
75-1690776,Officer Cadet,OFFCDT ,RAAF,23/07/2001
42-7632481,Pilot Officer,PLTOFF,RAAF,28/04/2023
10-5498614,Flying Officer,FLGOFF,RAAF,28/02/2002
99-2690295,Flight Lieutenant,FLTLT,RAAF,21/11/2020
45-0406186,Squadron Leader,SQNLDR,RAAF,06/05/2012
11-7096380,Wing Commander,WGCDR,RAAF,08/07/2014
27-0719328,Group Captain,GPCAPT,RAAF,04/04/2016
51-2001466,Air Commodore,AIRCDRE,RAAF,03/06/2016
36-7754943,Air Vice-Marshal,AVM,RAAF,28/07/2004
00-8328060,Air Marshal,AIRMSHL,RAAF,22/03/2023
66-5104437,Air Chief Marshal,ACM,RAAF,09/03/2021
86-2956330,Seaman,SMN,RAN,08/05/2008
48-8345089,Able Seaman,AB,RAN,08/03/2020
57-4716893,Leading Seaman,LS,RAN,16/12/2017
06-5698731,Petty Officer,PO,RAN,21/08/2023
78-2067274,Chief Petty Officer,CPO,RAN,25/07/2021
12-1792527,Warrant Officer,WO,RAN,19/11/2006
45-0536716,Warrant Officer of the Navy,WO-N,RAN,15/05/2015
82-7311220,Midshipman,MIDN,RAN,22/07/2014
05-6872216,Acting Sub Lieutenant,SBLT,RAN,04/03/2021
30-3528843,Sub Lieutenant,SBLT,RAN,27/02/2014
89-4258411,Lieutenant,LEUT,RAN,17/07/2022
44-3634831,Lieutenant Commander,LCDR,RAN,03/12/2008
88-3775333,Chaplain,CHAP,RAN,29/12/2013
59-3063914,Commander,CMDR,RAN,20/09/2022
30-3091047,Captain,CAPT,RAN,09/11/2017
10-5812976,Commodore,CDRE,RAN,12/12/2022
63-5334952,Rear Admiral,RADM,RAN,14/05/2014
90-4251319,Vice Admiral,VADM,RAN,18/08/2017
46-0770690,Admiral,ADML,RAN,25/06/2001
28-3588470,Private,PTE,Army,14/03/2010
71-0674399,Lance Corporal,LCPL,Army,25/05/2016
93-0621251,Corporal,CPL,Army,27/05/2023
66-8464689,Sergeant,SGT,Army,21/12/2018
03-8441394,Staff Sergeant,SSGT ,Army,03/05/2001
70-3285504,Warrant Officer Class Two,WO2,Army,17/06/2017
33-2538544,Warrant Officer Class One,WO1,Army,19/08/2018
14-1247089,Regimental Sergeant Major of the Army,RSM-A,Army,28/06/2012
61-7830494,Officer Cadet,OCDT,Army,25/07/2011
65-1429818,2nd Lieutenant,2LT,Army,18/04/2010
16-4234469,Lieutenant,LT,Army,21/01/2018
33-0754722,Captain,CAPT,Army,29/04/2011
87-8265396,Major,MAJ,Army,17/10/2018
16-3233392,Lieutenant Colonel,LTCOL,Army,21/12/2023
45-6634021,Colonel,COL,Army,23/08/2001
08-8264564,Brigadier,BRIG,Army,20/08/2016
22-8350447,Major General,MAJGEN,Army,05/12/2016
81-0262687,Lieutenant General,LTGEN,Army,30/05/2003
11-8372486,General,GEN,Army,19/06/2018
88-4332175,Aircraftman / Aircraftwoman,AC / ACW ,RAAF,17/01/2024
09-8796293,Leading Aircraftman / Aircraftwoman,LAC / LACW,RAAF,26/10/2004
90-4409889,Corporal,CPL,RAAF,01/03/2019
93-1863849,Sergeant,SGT,RAAF,23/04/2017
76-7675536,Flight Sergeant,FSGT,RAAF,24/12/2021
90-0364332,Warrant Officer,WOFF,RAAF,29/08/2012
48-3027479,Warrant Officer of the Air Force,WOFF-AF ,RAAF,27/03/2020
81-2190699,Officer Cadet,OFFCDT ,RAAF,02/11/2022
59-5421337,Pilot Officer,PLTOFF,RAAF,06/09/2001
10-5186383,Flying Officer,FLGOFF,RAAF,07/09/2021
88-0680858,Flight Lieutenant,FLTLT,RAAF,13/11/2006
66-4474557,Squadron Leader,SQNLDR,RAAF,27/08/2009
24-7650179,Wing Commander,WGCDR,RAAF,06/10/2022
07-7313200,Group Captain,GPCAPT,RAAF,07/03/2007
87-8704503,Air Commodore,AIRCDRE,RAAF,07/03/2002
20-7950653,Air Vice-Marshal,AVM,RAAF,22/08/2016
80-7951138,Air Marshal,AIRMSHL,RAAF,13/05/2015
00-1771497,Air Chief Marshal,ACM,RAAF,22/05/2022
65-1107729,Seaman,SMN,RAN,08/10/2002
89-0211246,Able Seaman,AB,RAN,26/02/2015
31-5757882,Leading Seaman,LS,RAN,19/05/2012
42-5184011,Petty Officer,PO,RAN,15/01/2003
01-9228702,Chief Petty Officer,CPO,RAN,16/12/2018
01-3398800,Warrant Officer,WO,RAN,21/08/2023
60-0317847,Warrant Officer of the Navy,WO-N,RAN,23/03/2003
04-6317962,Midshipman,MIDN,RAN,08/12/2016
23-9830535,Acting Sub Lieutenant,SBLT,RAN,05/02/2014
04-7998594,Sub Lieutenant,SBLT,RAN,08/10/2004
82-0012975,Lieutenant,LEUT,RAN,03/08/2020
38-6413110,Lieutenant Commander,LCDR,RAN,11/07/2006
64-8765851,Chaplain,CHAP,RAN,14/11/2013
54-6177756,Commander,CMDR,RAN,17/01/2004
18-0932365,Captain,CAPT,RAN,11/07/2014
52-5529092,Commodore,CDRE,RAN,14/09/2023
22-5274679,Rear Admiral,RADM,RAN,18/06/2020
56-5263326,Vice Admiral,VADM,RAN,21/05/2018
07-2922908,Admiral,ADML,RAN,13/03/2011
38-8860973,Private,PTE,Army,26/06/2005
98-0340480,Lance Corporal,LCPL,Army,31/05/2020
18-7492721,Corporal,CPL,Army,28/02/2014
05-7577700,Sergeant,SGT,Army,28/01/2018
00-2882307,Staff Sergeant,SSGT ,Army,22/02/2015
92-3026805,Warrant Officer Class Two,WO2,Army,07/07/2013
49-5014490,Warrant Officer Class One,WO1,Army,14/06/2022
57-0382043,Regimental Sergeant Major of the Army,RSM-A,Army,07/11/2019
62-6052387,Officer Cadet,OCDT,Army,02/05/2024
92-0809361,2nd Lieutenant,2LT,Army,17/06/2014
73-0598394,Lieutenant,LT,Army,15/07/2014
99-1085544,Captain,CAPT,Army,12/09/2020
66-8566034,Major,MAJ,Army,18/12/2015
94-5698589,Lieutenant Colonel,LTCOL,Army,09/01/2020
37-0256027,Colonel,COL,Army,07/03/2007
07-0317502,Brigadier,BRIG,Army,10/05/2009
92-2728635,Major General,MAJGEN,Army,16/01/2024
33-6704422,Lieutenant General,LTGEN,Army,13/04/2022
87-7193017,General,GEN,Army,09/08/2021
59-9140597,Aircraftman / Aircraftwoman,AC / ACW ,RAAF,09/05/2021
15-2219143,Leading Aircraftman / Aircraftwoman,LAC / LACW,RAAF,10/12/2012
59-7510232,Corporal,CPL,RAAF,09/04/2022
41-7784931,Sergeant,SGT,RAAF,24/09/2018
34-5207400,Flight Sergeant,FSGT,RAAF,24/10/2021
65-5397556,Warrant Officer,WOFF,RAAF,02/10/2017
08-4751149,Warrant Officer of the Air Force,WOFF-AF ,RAAF,30/07/2005
97-9510852,Officer Cadet,OFFCDT ,RAAF,16/11/2012
28-8042981,Pilot Officer,PLTOFF,RAAF,24/09/2012
52-2290374,Flying Officer,FLGOFF,RAAF,04/11/2012
82-6393856,Flight Lieutenant,FLTLT,RAAF,12/11/2020
59-8992067,Squadron Leader,SQNLDR,RAAF,31/01/2024
36-1437805,Wing Commander,WGCDR,RAAF,01/06/2005
96-3614464,Group Captain,GPCAPT,RAAF,30/06/2006
40-2008454,Air Commodore,AIRCDRE,RAAF,30/05/2008
56-8583968,Air Vice-Marshal,AVM,RAAF,19/02/2018
40-3145113,Air Marshal,AIRMSHL,RAAF,14/07/2014
67-3997297,Air Chief Marshal,ACM,RAAF,28/06/2018
30-4001207,Seaman,SMN,RAN,21/06/2021
15-0528487,Able Seaman,AB,RAN,25/03/2003
95-7625228,Leading Seaman,LS,RAN,05/07/2012
10-0210356,Petty Officer,PO,RAN,09/03/2004
44-4732690,Chief Petty Officer,CPO,RAN,10/09/2006
26-3080267,Warrant Officer,WO,RAN,10/12/2016
00-6878780,Warrant Officer of the Navy,WO-N,RAN,27/05/2010
89-4667193,Midshipman,MIDN,RAN,29/10/2007
18-1539373,Acting Sub Lieutenant,SBLT,RAN,16/03/2006
66-3758269,Sub Lieutenant,SBLT,RAN,08/11/2009
31-8030746,Lieutenant,LEUT,RAN,11/04/2014
74-2535535,Lieutenant Commander,LCDR,RAN,28/10/2017
67-2212416,Chaplain,CHAP,RAN,19/10/2013
48-2310817,Commander,CMDR,RAN,29/05/2024
69-0638090,Captain,CAPT,RAN,26/09/2013
25-9502381,Commodore,CDRE,RAN,11/03/2006
17-7045451,Rear Admiral,RADM,RAN,25/11/2017
48-3693330,Vice Admiral,VADM,RAN,23/07/2024
03-6116904,Admiral,ADML,RAN,26/11/2002
68-3501031,Private,PTE,Army,24/06/2022
53-9145965,Lance Corporal,LCPL,Army,27/01/2003
31-4964640,Corporal,CPL,Army,30/01/2002
39-9729037,Sergeant,SGT,Army,01/09/2015
09-4635021,Staff Sergeant,SSGT ,Army,10/06/2019
44-0539887,Warrant Officer Class Two,WO2,Army,28/12/2005
28-1532509,Warrant Officer Class One,WO1,Army,30/10/2001
48-1298040,Regimental Sergeant Major of the Army,RSM-A,Army,14/03/2014
54-2486859,Officer Cadet,OCDT,Army,07/11/2020
51-2626674,2nd Lieutenant,2LT,Army,24/09/2013
11-0198036,Lieutenant,LT,Army,30/08/2006
30-5073491,Captain,CAPT,Army,26/03/2009
45-8630866,Major,MAJ,Army,20/04/2003
85-1459531,Lieutenant Colonel,LTCOL,Army,07/11/2008
35-7507240,Colonel,COL,Army,24/06/2018
25-0621206,Brigadier,BRIG,Army,09/09/2005
88-9393296,Major General,MAJGEN,Army,17/07/2012
41-6335331,Lieutenant General,LTGEN,Army,27/04/2019
92-5709806,General,GEN,Army,25/01/2007
58-5896594,Aircraftman / Aircraftwoman,AC / ACW ,RAAF,15/06/2011
69-6803067,Leading Aircraftman / Aircraftwoman,LAC / LACW,RAAF,21/07/2003
51-1608992,Corporal,CPL,RAAF,01/02/2012
83-4132642,Sergeant,SGT,RAAF,05/02/2018
70-9089087,Flight Sergeant,FSGT,RAAF,21/08/2019
55-6095146,Warrant Officer,WOFF,RAAF,03/02/2022
67-1930896,Warrant Officer of the Air Force,WOFF-AF ,RAAF,05/07/2024
31-4197012,Officer Cadet,OFFCDT ,RAAF,27/10/2001
02-9284867,Pilot Officer,PLTOFF,RAAF,29/06/2002
06-6310613,Flying Officer,FLGOFF,RAAF,03/07/2024
09-8418010,Flight Lieutenant,FLTLT,RAAF,05/12/2011
65-0420669,Squadron Leader,SQNLDR,RAAF,07/06/2019
82-8900942,Wing Commander,WGCDR,RAAF,01/12/2014
43-5618376,Group Captain,GPCAPT,RAAF,25/02/2004
86-5471111,Air Commodore,AIRCDRE,RAAF,10/09/2010
91-8518210,Air Vice-Marshal,AVM,RAAF,26/08/2001
65-5043924,Air Marshal,AIRMSHL,RAAF,11/11/2023
52-7009404,Air Chief Marshal,ACM,RAAF,05/02/2022
64-0407115,Seaman,SMN,RAN,13/02/2007
06-6252346,Able Seaman,AB,RAN,21/05/2004
49-1067763,Leading Seaman,LS,RAN,01/08/2019
53-6206117,Petty Officer,PO,RAN,25/06/2002
07-2340080,Chief Petty Officer,CPO,RAN,27/03/2011
04-9357646,Warrant Officer,WO,RAN,11/08/2009
08-0952906,Warrant Officer of the Navy,WO-N,RAN,25/10/2019
37-2934366,Midshipman,MIDN,RAN,16/02/2016
20-9664340,Acting Sub Lieutenant,SBLT,RAN,23/10/2003
86-2968291,Sub Lieutenant,SBLT,RAN,05/04/2019
42-4151844,Lieutenant,LEUT,RAN,18/06/2022
19-1939627,Lieutenant Commander,LCDR,RAN,06/04/2024
39-7209314,Chaplain,CHAP,RAN,17/06/2024
35-4506892,Commander,CMDR,RAN,11/10/2005
24-1593469,Captain,CAPT,RAN,17/03/2001
42-3510597,Commodore,CDRE,RAN,18/10/2014
56-7422762,Rear Admiral,RADM,RAN,03/07/2022
52-6435245,Vice Admiral,VADM,RAN,20/12/2009
62-6242121,Admiral,ADML,RAN,18/08/2004
45-5649550,Private,PTE,Army,10/04/2022
67-7861761,Lance Corporal,LCPL,Army,23/09/2003
12-2806082,Corporal,CPL,Army,20/01/2001
35-3590976,Sergeant,SGT,Army,10/12/2001
01-1813556,Staff Sergeant,SSGT ,Army,09/12/2001
66-2857317,Warrant Officer Class Two,WO2,Army,14/03/2003
62-3899940,Warrant Officer Class One,WO1,Army,22/06/2006
22-7091547,Regimental Sergeant Major of the Army,RSM-A,Army,22/09/2007
88-8923347,Officer Cadet,OCDT,Army,19/04/2005
42-9145238,2nd Lieutenant,2LT,Army,13/09/2003
97-9344598,Lieutenant,LT,Army,31/08/2005
59-1024214,Captain,CAPT,Army,29/06/2011
11-1040889,Major,MAJ,Army,14/05/2009
51-5695603,Lieutenant Colonel,LTCOL,Army,05/06/2014
33-0458658,Colonel,COL,Army,08/12/2022
58-8975342,Brigadier,BRIG,Army,22/01/2013
24-5296405,Major General,MAJGEN,Army,09/03/2017
99-2169331,Lieutenant General,LTGEN,Army,20/02/2016
29-8040695,General,GEN,Army,18/10/2018
43-1583052,Aircraftman / Aircraftwoman,AC / ACW ,RAAF,17/10/2008
02-8664907,Leading Aircraftman / Aircraftwoman,LAC / LACW,RAAF,17/05/2006
20-1806942,Corporal,CPL,RAAF,02/06/2005
16-1611786,Sergeant,SGT,RAAF,16/08/2005
23-0848901,Flight Sergeant,FSGT,RAAF,29/07/2018
62-2132282,Warrant Officer,WOFF,RAAF,06/10/2010
56-7838083,Warrant Officer of the Air Force,WOFF-AF ,RAAF,25/12/2002
61-8940156,Officer Cadet,OFFCDT ,RAAF,05/02/2011
35-9304959,Pilot Officer,PLTOFF,RAAF,14/08/2002
29-8146637,Flying Officer,FLGOFF,RAAF,12/07/2007
20-1585352,Flight Lieutenant,FLTLT,RAAF,20/05/2009
54-7212102,Squadron Leader,SQNLDR,RAAF,03/05/2012
77-2704431,Wing Commander,WGCDR,RAAF,20/03/2005
14-1458897,Group Captain,GPCAPT,RAAF,07/10/2012
89-8563786,Air Commodore,AIRCDRE,RAAF,17/01/2021
58-7215193,Air Vice-Marshal,AVM,RAAF,28/09/2007
64-1148373,Air Marshal,AIRMSHL,RAAF,18/12/2023
03-2340168,Air Chief Marshal,ACM,RAAF,18/07/2006
13-9960354,Seaman,SMN,RAN,30/04/2008
55-3483174,Able Seaman,AB,RAN,27/05/2015
25-0846844,Leading Seaman,LS,RAN,28/07/2023
16-4692869,Petty Officer,PO,RAN,12/02/2012
06-8996234,Chief Petty Officer,CPO,RAN,16/05/2015
74-7481786,Warrant Officer,WO,RAN,03/09/2005
25-0902197,Warrant Officer of the Navy,WO-N,RAN,10/08/2008
43-7867613,Midshipman,MIDN,RAN,28/12/2016
31-1121105,Acting Sub Lieutenant,SBLT,RAN,02/10/2024
64-2818802,Sub Lieutenant,SBLT,RAN,31/12/2010
03-4065249,Lieutenant,LEUT,RAN,05/04/2014
74-5554719,Lieutenant Commander,LCDR,RAN,30/11/2011
61-6137907,Chaplain,CHAP,RAN,14/10/2006
64-0083497,Commander,CMDR,RAN,17/09/2011
16-1097308,Captain,CAPT,RAN,22/05/2007
27-3079445,Commodore,CDRE,RAN,12/10/2002
83-7107230,Rear Admiral,RADM,RAN,22/05/2020
65-7854495,Vice Admiral,VADM,RAN,10/08/2001
01-8930222,Admiral,ADML,RAN,06/03/2014
18-4438905,Private,PTE,Army,15/09/2004
28-7890084,Lance Corporal,LCPL,Army,17/06/2003
07-6901359,Corporal,CPL,Army,31/03/2016
74-4624152,Sergeant,SGT,Army,22/05/2015
03-2413259,Staff Sergeant,SSGT ,Army,22/07/2021
85-1709849,Warrant Officer Class Two,WO2,Army,24/10/2009
51-6950649,Warrant Officer Class One,WO1,Army,05/11/2018
05-8605572,Regimental Sergeant Major of the Army,RSM-A,Army,21/10/2011
04-2043814,Officer Cadet,OCDT,Army,13/07/2013
91-2371927,2nd Lieutenant,2LT,Army,26/01/2006
92-8510362,Lieutenant,LT,Army,27/01/2013
87-2708254,Captain,CAPT,Army,23/03/2018
75-3169262,Major,MAJ,Army,19/05/2003
93-8686972,Lieutenant Colonel,LTCOL,Army,07/06/2009
88-7992294,Colonel,COL,Army,10/09/2002
74-0751844,Brigadier,BRIG,Army,16/02/2020
49-7493174,Major General,MAJGEN,Army,14/08/2008
68-1584432,Lieutenant General,LTGEN,Army,25/01/2021
72-2109149,General,GEN,Army,09/01/2023
09-5703994,Aircraftman / Aircraftwoman,AC / ACW ,RAAF,05/02/2012
71-9143213,Leading Aircraftman / Aircraftwoman,LAC / LACW,RAAF,20/11/2017
93-6767603,Corporal,CPL,RAAF,20/05/2005
67-5759570,Sergeant,SGT,RAAF,29/10/2006
38-2618559,Flight Sergeant,FSGT,RAAF,22/01/2005
24-2048822,Warrant Officer,WOFF,RAAF,27/05/2021
19-4668550,Warrant Officer of the Air Force,WOFF-AF ,RAAF,28/09/2014
93-5707108,Officer Cadet,OFFCDT ,RAAF,29/05/2006
21-5711085,Pilot Officer,PLTOFF,RAAF,29/12/2007
27-1853043,Flying Officer,FLGOFF,RAAF,18/11/2003
65-9236235,Flight Lieutenant,FLTLT,RAAF,23/09/2005
07-7567576,Squadron Leader,SQNLDR,RAAF,17/06/2022
72-7597933,Wing Commander,WGCDR,RAAF,04/07/2017
14-2386410,Group Captain,GPCAPT,RAAF,10/10/2015
06-2442191,Air Commodore,AIRCDRE,RAAF,31/10/2006
23-6014295,Air Vice-Marshal,AVM,RAAF,08/01/2002
92-1025073,Air Marshal,AIRMSHL,RAAF,05/01/2024
01-2766568,Air Chief Marshal,ACM,RAAF,24/08/2001
11-4010646,Seaman,SMN,RAN,02/08/2020
81-9642489,Able Seaman,AB,RAN,06/02/2005
80-3194370,Leading Seaman,LS,RAN,17/03/2023
94-2109547,Petty Officer,PO,RAN,19/03/2024
61-5829796,Chief Petty Officer,CPO,RAN,27/08/2010
24-6180641,Warrant Officer,WO,RAN,20/04/2015
26-5674833,Warrant Officer of the Navy,WO-N,RAN,24/05/2015
63-1975230,Midshipman,MIDN,RAN,06/01/2013
34-1370470,Acting Sub Lieutenant,SBLT,RAN,01/03/2011
86-5156347,Sub Lieutenant,SBLT,RAN,15/08/2010
87-7525846,Lieutenant,LEUT,RAN,19/07/2023
60-8043044,Lieutenant Commander,LCDR,RAN,01/05/2016
04-5759256,Chaplain,CHAP,RAN,03/09/2007
06-5223952,Commander,CMDR,RAN,24/03/2024
21-7087011,Captain,CAPT,RAN,08/04/2005
84-0046634,Commodore,CDRE,RAN,02/01/2002
03-6180683,Rear Admiral,RADM,RAN,04/10/2017
41-2249396,Vice Admiral,VADM,RAN,06/08/2004
44-2885998,Admiral,ADML,RAN,28/12/2016
37-4950112,Private,PTE,Army,19/09/2002
62-4092116,Lance Corporal,LCPL,Army,31/05/2010
76-3919201,Corporal,CPL,Army,09/11/2022
33-2632314,Sergeant,SGT,Army,22/02/2010
02-1681437,Staff Sergeant,SSGT ,Army,11/02/2008
98-1526598,Warrant Officer Class Two,WO2,Army,19/01/2020
52-1745052,Warrant Officer Class One,WO1,Army,14/11/2017
87-5034234,Regimental Sergeant Major of the Army,RSM-A,Army,09/11/2019
64-2025940,Officer Cadet,OCDT,Army,08/08/2016
54-6093110,2nd Lieutenant,2LT,Army,02/09/2008
66-5624684,Lieutenant,LT,Army,30/10/2001
57-9935374,Captain,CAPT,Army,26/10/2019
18-5959819,Major,MAJ,Army,03/05/2011
18-1521883,Lieutenant Colonel,LTCOL,Army,26/04/2017
77-7963483,Colonel,COL,Army,02/06/2016
17-7866323,Brigadier,BRIG,Army,01/10/2001
77-2386608,Major General,MAJGEN,Army,23/10/2004
27-8034714,Lieutenant General,LTGEN,Army,25/09/2005
71-8185654,General,GEN,Army,10/08/2004
23-3472992,Aircraftman / Aircraftwoman,AC / ACW ,RAAF,03/12/2012
10-3949549,Leading Aircraftman / Aircraftwoman,LAC / LACW,RAAF,02/02/2022
05-8286064,Corporal,CPL,RAAF,26/11/2014
92-3291242,Sergeant,SGT,RAAF,12/10/2007
45-6101158,Flight Sergeant,FSGT,RAAF,27/08/2004
39-8826085,Warrant Officer,WOFF,RAAF,16/12/2019
83-3831503,Warrant Officer of the Air Force,WOFF-AF ,RAAF,11/02/2022
74-2978346,Officer Cadet,OFFCDT ,RAAF,17/02/2014
88-5024384,Pilot Officer,PLTOFF,RAAF,20/07/2019
82-3719458,Flying Officer,FLGOFF,RAAF,21/03/2009
97-4898634,Flight Lieutenant,FLTLT,RAAF,17/05/2016
87-3771960,Squadron Leader,SQNLDR,RAAF,02/07/2020
05-0476252,Wing Commander,WGCDR,RAAF,17/01/2002
41-4283638,Group Captain,GPCAPT,RAAF,17/04/2003
33-4959786,Air Commodore,AIRCDRE,RAAF,04/12/2021
50-8833488,Air Vice-Marshal,AVM,RAAF,08/01/2015
83-2513085,Air Marshal,AIRMSHL,RAAF,29/03/2018
23-7786962,Air Chief Marshal,ACM,RAAF,23/04/2012
12-5192571,Seaman,SMN,RAN,29/05/2014
63-0291650,Able Seaman,AB,RAN,16/03/2017
08-1396944,Leading Seaman,LS,RAN,13/01/2015
09-4061315,Petty Officer,PO,RAN,23/01/2008
84-1788369,Chief Petty Officer,CPO,RAN,13/08/2001
34-0804578,Warrant Officer,WO,RAN,07/06/2009
95-0401811,Warrant Officer of the Navy,WO-N,RAN,21/04/2013
65-7042143,Midshipman,MIDN,RAN,16/04/2009
28-5032202,Acting Sub Lieutenant,SBLT,RAN,16/04/2016
12-2830399,Sub Lieutenant,SBLT,RAN,23/08/2004
26-8371346,Lieutenant,LEUT,RAN,03/03/2011
50-0805569,Lieutenant Commander,LCDR,RAN,20/05/2020
06-9701375,Chaplain,CHAP,RAN,15/06/2004
93-9540666,Commander,CMDR,RAN,28/12/2009
94-2491476,Captain,CAPT,RAN,05/03/2009
62-2781512,Commodore,CDRE,RAN,10/05/2004
73-7929213,Rear Admiral,RADM,RAN,05/06/2005
66-7157420,Vice Admiral,VADM,RAN,13/12/2021
63-8651123,Admiral,ADML,RAN,08/01/2020
14-7137115,Private,PTE,Army,10/06/2017
12-1079782,Lance Corporal,LCPL,Army,01/10/2017
20-7272431,Corporal,CPL,Army,05/03/2023
49-8207571,Sergeant,SGT,Army,18/11/2009
35-6875785,Staff Sergeant,SSGT ,Army,12/04/2004
41-6868133,Warrant Officer Class Two,WO2,Army,25/08/2019
04-0077392,Warrant Officer Class One,WO1,Army,03/09/2009
08-9133883,Regimental Sergeant Major of the Army,RSM-A,Army,12/08/2000
98-2384604,Officer Cadet,OCDT,Army,10/06/2017
95-0647151,2nd Lieutenant,2LT,Army,05/11/2003
41-1746395,Lieutenant,LT,Army,26/06/2003
04-6084678,Captain,CAPT,Army,11/10/2003
96-8860931,Major,MAJ,Army,11/01/2004
11-2156352,Lieutenant Colonel,LTCOL,Army,01/01/2006
96-9275766,Colonel,COL,Army,02/09/2015
91-5550151,Brigadier,BRIG,Army,03/01/2002
50-4135381,Major General,MAJGEN,Army,23/05/2020
51-6278992,Lieutenant General,LTGEN,Army,19/03/2005
06-7320797,General,GEN,Army,23/03/2001
94-8778376,Aircraftman / Aircraftwoman,AC / ACW ,RAAF,21/09/2016
04-4617480,Leading Aircraftman / Aircraftwoman,LAC / LACW,RAAF,19/08/2005
04-3596472,Corporal,CPL,RAAF,31/12/2003
72-8257231,Sergeant,SGT,RAAF,05/03/2019
93-7343269,Flight Sergeant,FSGT,RAAF,30/05/2010
63-2982841,Warrant Officer,WOFF,RAAF,07/08/2019
59-2725197,Warrant Officer of the Air Force,WOFF-AF ,RAAF,20/06/2020
71-7293295,Officer Cadet,OFFCDT ,RAAF,19/11/2011
15-1082714,Pilot Officer,PLTOFF,RAAF,25/11/2007
65-8694349,Flying Officer,FLGOFF,RAAF,13/01/2013
96-4932290,Flight Lieutenant,FLTLT,RAAF,18/03/2010
50-6065226,Squadron Leader,SQNLDR,RAAF,10/07/2018
